specification,year,observations,n_reduction,n_addition,n_boundary,country_balance,gross_reduction_twh,gross_addition_twh,net_contraction_twh,observed_net_contraction_twh,physical_balance,scale_gap,direction_reversal,reduction_contributors,reduction_hhi,reduction_effective_contributors,reduction_top1_share,reduction_top3_share,addition_contributors,addition_hhi,addition_effective_contributors,addition_top1_share,addition_top3_share
threshold_025,2005,19,1,15,3,-0.875,3.199996948,471.7499618,-468.5499649,-468.2699508,-0.986524909,0.111524909,False,1,1,1,1,1,15,0.3167739233,3.156825504,0.5244091884,0.7703655564
threshold_025,2006,19,4,14,1,-0.5555555556,49.03986358,445.4998398,-396.4599762,-396.2399788,-0.8016747159,0.2461191604,False,4,0.3020555704,3.310649093,0.436377689,0.8688821739,14,0.5298520314,1.887319366,0.7213467539,0.8340290642
threshold_025,2007,19,1,18,0,-0.8947368421,1.75,713.6599884,-711.9099884,-711.9099884,-0.9951077004,0.1003708583,False,1,1,1,1,1,18,0.2837874044,3.523764566,0.496791252,0.7257937661
threshold_025,2008,19,7,10,2,-0.1764705882,104.8300476,196.0200768,-91.19002914,-91.39002609,-0.3031078326,0.1266372444,False,7,0.4047212888,2.470836172,0.6107984376,0.8297243347,10,0.1509943158,6.622765861,0.2223756291,0.5704521201
threshold_025,2009,19,12,7,0,0.2631578947,499.4399719,318.4299164,181.0100555,181.0100555,0.2213188896,0.04183900514,False,12,0.2187810515,4.57077975,0.3980459314,0.6877903834,7,0.502272896,1.990949557,0.6843261292,0.8959895916
threshold_025,2010,19,2,17,0,-0.7894736842,2.130004883,783.920124,-781.7901192,-781.7901192,-0.9945804859,0.2051068017,False,2,0.5080334296,1.968374406,0.5633775574,1,17,0.2711579905,3.687886896,0.4666803118,0.7254440447
threshold_025,2011,19,6,13,0,-0.3684210526,147.9600296,729.1598663,-581.1998367,-581.1998367,-0.6626230227,0.2942019701,False,6,0.4495112808,2.224638274,0.6323333325,0.912003336,13,0.4683023012,2.135372808,0.6684403858,0.8586729635
threshold_025,2012,19,6,12,1,-0.3333333333,43.89001083,388.1100044,-344.2199936,-334.3100815,-0.7968055126,0.4634721792,False,6,0.2186654284,4.573196629,0.2822965672,0.7662336883,12,0.212071102,4.715399649,0.3859472219,0.6990285864
threshold_025,2013,19,9,7,3,0.125,143.5901032,448.9698028,-305.3796997,-304.3797073,-0.5153566696,0.6403566696,True,9,0.1673733465,5.974666939,0.2284980501,0.6042900131,7,0.5780716608,1.729889334,0.7508296802,0.9023320159
threshold_025,2014,19,8,9,2,-0.05882352941,130.9599953,353.5602418,-222.6002465,-228.420292,-0.4594240436,0.4006005142,False,8,0.1506109605,6.639623018,0.1881490553,0.5283291821,9,0.2719190543,3.677565011,0.4107934582,0.7898801964
threshold_025,2015,19,9,8,2,0.05882352941,269.2198944,127.4399567,141.7799377,143.4799499,0.3574345559,-0.2986110265,False,9,0.274974742,3.636697656,0.4548696566,0.7590447978,8,0.2487253929,4.020498222,0.4322817369,0.7257532264
threshold_025,2016,19,5,13,1,-0.4444444444,116.9701004,326.3999443,-209.4298439,-208.6998481,-0.4723590292,0.02791458474,False,5,0.4995061827,2.001977222,0.6271697397,0.9711038153,13,0.2692060979,3.714626109,0.4523588465,0.7517462498
threshold_025,2017,19,8,11,0,-0.1578947368,174.1600647,466.4998856,-292.3398209,-292.3398209,-0.4563104354,0.2984156985,False,8,0.4719906865,2.118685874,0.6705902371,0.8471520413,11,0.4145869186,2.412039442,0.6261305797,0.7991210674
threshold_025,2018,19,10,8,1,0.1111111111,139.0700264,611.2503662,-472.1803398,-471.7703361,-0.6293049535,0.7404160647,True,10,0.1263818559,7.912528211,0.1870281501,0.4704825684,8,0.3796809246,2.633790468,0.5668220977,0.891779166
threshold_025,2019,19,10,6,3,0.25,262.4700928,138.0498467,124.4202461,128.1002082,0.3106468213,-0.06064682134,False,10,0.1823027732,5.485380075,0.2784701568,0.6694861533,6,0.5874969496,1.702136497,0.7558128191,0.9247372519
threshold_025,2020,19,15,4,0,0.5789473684,481.9700546,97.08003998,384.8900147,384.8900147,0.6646920849,-0.0857447165,False,15,0.1545698426,6.469567304,0.3243148762,0.5563002381,4,0.8217605549,1.21689949,0.9040995404,0.9830034638
threshold_025,2021,19,4,14,1,-0.5555555556,32.3600006,879.780037,-847.4200364,-847.8800355,-0.9290459814,0.3734904258,False,4,0.3079124019,3.247676917,0.3303461755,0.9573546089,14,0.2939195152,3.402291948,0.5116052636,0.7141330821
threshold_025,2022,19,6,12,1,-0.3333333333,124.8300018,306.5700531,-181.7400513,-181.6900559,-0.4212796202,0.08794628683,False,6,0.3342343763,2.991912475,0.5216694849,0.8116638485,12,0.169260487,5.908053424,0.2684869502,0.6584142698
threshold_025,2023,19,11,7,1,0.2222222222,293.4099312,551.2597732,-257.849842,-257.0898323,-0.3052670656,0.5274892878,True,11,0.1471975355,6.793592001,0.2358475459,0.5805527257,7,0.4851109958,2.061383907,0.6661827399,0.898160523
threshold_025,2024,19,6,11,2,-0.2941176471,68.04994965,331.4904862,-263.4405365,-263.4105377,-0.6593588856,0.3652412385,False,6,0.2016392542,4.959351808,0.2537840086,0.6800885436,11,0.1949559351,5.12936423,0.3309006873,0.682555028
