replication,country_balance,physical_balance,scale_gap,direction_reversal
104,-0.4105263158,-0.7661851781,0.3556588623,False
105,-0.3515789474,-0.6234223289,0.2718433816,False
106,-0.3642105263,-0.6818637229,0.3176531966,False
107,-0.28,-0.3977784057,0.1177784057,False
108,-0.4021052632,-0.6891141627,0.2870088995,False
109,-0.2084210526,-0.2569517174,0.04853066474,False
110,-0.01473684211,0.04882281943,-0.06355966153,True
111,-0.3389473684,-0.6672016565,0.3282542881,False
112,-0.3431578947,-0.6518987313,0.3087408366,False
113,-0.36,-0.6546476883,0.2946476883,False
114,-0.1242105263,-0.409950061,0.2857395347,False
115,-0.2547368421,-0.7406509409,0.4859140988,False
116,-0.2294736842,-0.437955906,0.2084822218,False
117,-0.3263157895,-0.6089595609,0.2826437715,False
118,-0.2505263158,-0.2280821623,-0.02244415346,False
119,-0.4021052632,-0.8121594369,0.4100541738,False
120,-0.2336842105,-0.2757565336,0.0420723231,False
121,-0.2547368421,-0.1442882021,-0.11044864,False
122,-0.1789473684,-0.487932991,0.3089856226,False
123,-0.3010526316,-0.573436088,0.2723834564,False
124,-0.2168421053,-0.4709786172,0.2541365119,False
125,-0.1831578947,-0.13666875,-0.04648914475,False
126,-0.3642105263,-0.741300017,0.3770894907,False
127,-0.2926315789,-0.6122373805,0.3196058015,False
128,-0.3305263158,-0.7377878832,0.4072615674,False
129,-0.2126315789,-0.5057893358,0.2931577569,False
130,-0.2421052632,-0.1956336092,-0.04647165391,False
131,-0.4147368421,-0.8024784927,0.3877416506,False
132,-0.1494736842,-0.3599075594,0.2104338752,False
133,-0.2968421053,-0.591239765,0.2943976598,False
134,-0.1873684211,-0.4224449743,0.2350765533,False
135,-0.06947368421,-0.07679112731,0.007317443101,False
136,-0.3473684211,-0.5287892774,0.1814208564,False
137,-0.5242105263,-0.768610046,0.2443995196,False
138,-0.09894736842,-0.3956098009,0.2966624325,False
139,-0.2336842105,-0.6499324131,0.4162482026,False
140,-0.3347368421,-0.5296131297,0.1948762876,False
141,-0.1410526316,-0.06152933269,-0.07952329889,False
142,-0.2421052632,-0.6724906768,0.4303854136,False
143,-0.1705263158,-0.07105838241,-0.09946793338,False
144,-0.08210526316,-0.4341393362,0.3520340731,False
145,-0.3221052632,-0.5497958308,0.2276905676,False
146,-0.2,-0.3760447364,0.1760447364,False
147,-0.2884210526,-0.552497024,0.2640759713,False
148,-0.06526315789,-0.1316534697,0.06639031183,False
149,-0.2884210526,-0.5180048144,0.2295837618,False
150,-0.2252631579,-0.3630271411,0.1377639832,False
151,-0.3389473684,-0.7487639717,0.4098166033,False
152,-0.3557894737,-0.2991032113,-0.05668626236,False
153,-0.1073684211,0.04800763302,-0.1553760541,True
154,-0.3347368421,-0.6053604107,0.2706235686,False
155,-0.3894736842,-0.662603197,0.2731295128,False
156,-0.2210526316,-0.4405509805,0.2194983489,False
157,-0.3052631579,-0.5139513599,0.208688202,False
158,-0.2505263158,-0.2446078204,-0.005918495391,False
159,-0.2757894737,-0.4460975854,0.1703081117,False
160,-0.2715789474,-0.5327675113,0.2611885639,False
161,-0.2884210526,-0.3311187039,0.04269765122,False
162,-0.2210526316,-0.422554097,0.2015014655,False
163,-0.2715789474,-0.2329950221,-0.03858392522,False
164,-0.3136842105,-0.678182837,0.3644986265,False
165,-0.4821052632,-0.7264542023,0.2443489392,False
166,-0.4231578947,-0.7802660223,0.3571081276,False
167,-0.1536842105,-0.5261245633,0.3724403527,False
168,-0.4273684211,-0.7143644035,0.2869959825,False
169,-0.1368421053,-0.4348654805,0.2980233752,False
170,-0.2757894737,-0.5073346513,0.2315451776,False
171,-0.2042105263,-0.4933768844,0.289166358,False
172,-0.3178947368,-0.4518367119,0.1339419751,False
173,-0.2378947368,-0.4982780183,0.2603832815,False
174,-0.3094736842,-0.6996709666,0.3901972824,False
175,-0.2336842105,-0.254067776,0.02038356547,False
176,-0.3052631579,-0.55957069,0.2543075321,False
177,-0.3347368421,-0.5741274037,0.2393905616,False
178,-0.3768421053,-0.758192932,0.3813508267,False
179,-0.4442105263,-0.6753324247,0.2311218983,False
180,-0.1957894737,-0.39645202,0.2006625463,False
181,-0.1115789474,-0.2012257749,0.08964682756,False
182,-0.3726315789,-0.6443801312,0.2717485522,False
